window_id,start_utc,source,step,bx,by,bz,bt,density,speed,temperature
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,0,0.5247571,0.8246136,-0.312869,-0.506148,-0.7960103,0.7491139,-0.1448262
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,1,0.5799458,0.7661539,-0.4180596,-0.5042226,-0.8015008,0.7125152,-0.08391933
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,2,0.5339552,0.8006983,-0.3851876,-0.5055797,-0.8292632,0.7409055,-0.2046126
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,3,0.4971627,0.8060128,-0.4213469,-0.5068563,-0.8292632,0.7409055,-0.2046126
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,4,0.5860779,0.7661539,-0.345741,-0.5247779,-0.8575565,0.7042386,-0.2608808
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,5,0.6320685,0.6917506,-0.533112,-0.4973814,-0.9039821,0.7198592,-0.29723
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,6,0.5646156,0.7741257,-0.3325922,-0.5333381,-0.9277528,0.7281066,-0.3185865
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,7,0.5584836,0.787412,-0.2142527,-0.5513455,-0.9277528,0.7281066,-0.3185865
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,8,0.4726344,0.8458717,-0.1353597,-0.5440227,-0.8922384,0.6913332,-0.252762
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,9,0.4787665,0.8299281,-0.2142527,-0.5475395,-0.8690271,0.6922562,-0.1887572
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,10,0.4848986,0.7927265,-0.3753259,-0.5443055,-0.8405157,0.7454676,-0.1963156
omni_001_quiet_20240508_1633,2024-05-08T16:33:00Z,NASA OMNI HRO modified 1-min,11,0.5002288,0.7820975,-0.3950492,-0.5410895,-0.8805872,0.7042386,-0.2228351
